,Nom de l'entreprise,Numéro et voie,Ville,Code postal,Commune,Numéro de téléphone,Numéro de fax,Site internet,E-mail générique,Numéro Siren,"Chiffre d'affaires net (H.T.)
kEUR
Dernière année disp.","Chiffre d'affaires net (H.T.)
kEUR
Année - 1","Dirigeant
Nom complet","Dirigeant
Personne physique ou morale",Description de l’activité,Activité principale de l'entreprise INSEE,"NAF Rév. 2, code principal (code)","Dirigeant
Age","Dirigeant
Nom",Commentaires 
3739.,L M E TROUCHE HOLDING,ZONE ARTISANALE SAINT CHRISTOPHE,DIGNE LES BAINS,04000,Digne-les-Bains,04 92 30 10 38,04 92 32 31 30,,,007250053,"3,839","3,236",M. Michel Trouche,Personne,Adjonction d'activité: jeux et appareils automatiques.,Activités des sociétés holding,6420Z,70,Trouche,
107.,HABITATIONS DE HAUTE-PROVENCE,2 RUE DU DOCTEUR SIMON PIETRI,DIGNE LES BAINS,04000,Digne-les-Bains,04 92 36 76 36,04 92 36 76 09,www.h2p-esh.eu,jllaurancon@h2p-esh.eu,006650089,"26,028","25,921",M. Alain Arnoux,Personne,,Location de logements,6820A,59,Arnoux,
10473.,AILHAUD ANNY ASSOCIES,11 RUE DU DOCTEUR HONNORAT,DIGNE LES BAINS,04000,Digne-les-Bains,04 92 31 17 13,04 92 31 91 98,www.cabinet-ailhaud.fr/,contact@cabinet-ailhaud.fr,400810628,915,912,Mme Aurore Ailhaud Blanc,Personne,Profession d'expert comptable,Activités comptables,6920Z,32,Ailhaud Blanc,
2307.,ETABL LAZARD DRAGAGE CONCASSA,ROUTE DE LA DURANCE,MANOSQUE,04100,Manosque,,04 92 87 41 03,www.carriere-lazard.com,,706250156,"5,981","5,620",M. Sebastien Langlois,Personne,"Adjonction d'activité : transport public routier de marchandises, location de véhicules avec chauffeur , achat et vente de tout matériel industriel.","Exploitation de gravières et sablières, extraction d’argiles et de kaolin",0812Z,49,Langlois,
304.,ACTIMEAT,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 87 57 60,04 92 72 29 31,www.actimeat.com,,322667585,"20,626","16,974",M. Stephane Maloisel,Personne,"Un fonds de commerce de transformation, élaboration de viandes et de préparation à base de viande pour l'industrie agro-alimentaire et exploité à ZI Saint Maurice 04100 Manosque",Transformation et conservation de la viande de boucherie,1011Z,56,Maloisel,
2568.,LE SECHOIR DES ALPES,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 87 76 07,04 92 72 69 09,,accueil@sechoirdesalpes.com,330108812,"5,429","5,762",M. Guillaume Saint Martin,Personne,,Charcuterie,1013B,45,Saint Martin,
6572.,LESILO,AVENUE DE PRES COMBAUX,MANOSQUE,04100,Manosque,04 92 75 08 10,,,,801579475,"2,021","1,731",M. Benjamin Robert,Personne,,Boulangerie et boulangerie-pâtisserie,1071C,36,Robert,
10102.,BONIFAIT PESAGE,AVENUE JOLIOT CURIE,MANOSQUE,04100,Manosque,04 92 87 88 47,04 92 87 88 46,www.bonifait-pesage-manosque.fr,bonifait.pesage@orange.fr,388312084,993,887,M. Laurent Bonifait,Personne,"Construction, reparation et vente de tous instruments de pesage, poids et mesure, informatique liee au pesage","Fabrication d'équipements d'emballage, de conditionnement et de pesage",2829A,57,Bonifait,
5749.,A2I DIDACT,1884 BOULEVARD SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 75 87 80,,,,792068272,"2,375","1,719",M. Eric Mercier,Personne,"Conception et réalisation de méthodes et pratiques d'enseignement , de pédagogie qui porte sur l'éducation ou l'action éducative.",Fabrication d'autres machines spécialisées,2899B,54,Mercier,
72.,MAS PROVENCE COREPAC,53 AVENUE DU MAJORAL RAOUL ARNAUD,MANOSQUE,04100,Manosque,04 92 70 77 60,04 92 72 07 96,www.masprovence.com,lemuy@masprovence.com,382998540,"27,153","24,644",M. Christian Duhil De Benaze,Personne,,Construction de maisons individuelles,4120A,56,Duhil De Benaze,
6354.,MAISONS & CREATIONS DE PROVENCE,CHEMIN DU MOULIN NEUF,MANOSQUE,04100,Manosque,04 92 79 58 85,,,,791587462,"2,113","1,609",M. Julien Anselmo,Personne,"Contractant général, maîtrise d'oeuvre, coordination de travaux, commercialisation de maisons individuelles et petites opérations collectives, organisation de projet, aménagement foncier.",Construction de maisons individuelles,4120A,35,Anselmo,
1773.,STE CONSTRUCTION ET ENTRETIEN RESEAUX,ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,04 92 72 05 43,04 92 72 63 27,,,707350039,"7,466","7,642",M. Laurent M Vigani,Personne,,Construction de réseaux électriques et de télécommunications,4222Z,35,M Vigani,
2514.,TRAVAUX ELECTRIQUES DU MIDI,446 ZONE INDUSTRIELLE SAINT MAURICE,MANOSQUE,04100,Manosque,,04 92 70 79 70,www.tem-france.fr,lmachari@tem-france.fr,381855709,"5,537","5,829",M. Maurice Madonna,Personne,,Construction de réseaux électriques et de télécommunications,4222Z,55,Madonna,
1470.,DELTA ELECTRICITE ELECTRONIQUE ETUDES,CHEMIN DES VANNADES,MANOSQUE,04100,Manosque,04 42 57 48 49,04 42 57 48 58,www.delta3e.com,d3e@d-e-e-e.fr,325421261,"8,597","9,676",M. Jean-Pierre M Joubert,Personne,"Établissement principal, études et réalisation de toutes installations électriques et électroniques.",Travaux d'installation électrique dans tous locaux,4321A,,M Joubert,
1749.,MANOSQUE ELECTRICITE PLOMBERIE,162 AVENUE BLAISE PASCAL,MANOSQUE,04100,Manosque,04 92 72 41 44,04 92 87 49 80,,contact@mep-manosque.fr,389394339,"7,545","6,848",M. Bafti Nerguti,Personne,"Electricite, plomberie",Travaux d'installation électrique dans tous locaux,4321A,54,Nerguti,
9052.,CLIMELEC PROVENCE,467 AVENUE FREDERIC MISTRAL,MANOSQUE,04100,Manosque,04 92 71 09 51,,,,452645120,"1,242","1,298",M. Remy Bonnafoux,Personne,"Vente, installation, dépannage de chauffage central électrique, de climatisation, de froid seul et réversible.",Travaux d'installation électrique dans tous locaux,4321A,37,Bonnafoux,
4436.,GEOSOLIA,CHEMIN DE CHAMPS DE PRUNIERS,MANOSQUE,04100,Manosque,04 92 75 66 38,04 92 75 66 41,,,451078273,"3,217","2,366",M. Philippe Humayou,Personne,"Vente, études, commercialisation et installation de systèmes de chauffage, de climatisation, d'eau chaude et de sanitaires par procédé géothermique ou tout autre , tous travaux électriques et de plomberie .",Travaux d'installation d'équipements thermiques et de climatisation,4322B,49,Humayou,
7263.,ETABLISSEMENTS VENTURELLI,654 SAINT JOSEPH,MANOSQUE,04100,Manosque,04 92 72 06 72,04 92 72 50 57,www.venturelli.fr,accueil@venturelli.fr,319774881,"1,764","1,666",M. Bruno M Venturelli,Personne,"Fabrication, transformation, vente, pose de miroiterie, de menuiseries en aluminium, de faux plafonds, de stores, de volets roulants et de grilles de défense.",Travaux de menuiserie métallique et serrurerie,4332B,49,M Venturelli,
6415.,DPA,139 RUE DES ENTREPRENEURS,MANOSQUE,04100,Manosque,04 92 72 84 28,,,,353644065,"2,084","1,745",M. Bruno Maigre,Personne,"Commerce de demolition de voitures, depannages, renovation, vente de vehicules d'occasion",Commerce de détail d'équipements automobiles,4532Z,60,Maigre,
